COUNTY_CODE,STATENAME,COUNTY,MA_REGION_CODE,MA_REGION,PDP_REGION_CODE,PDP_REGION
16080,Iowa,Bremer,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16090,Iowa,Buchanan,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16100,Iowa,Buena Vista,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16110,Iowa,Butler,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16120,Iowa,Calhoun,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16130,Iowa,Carroll,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16140,Iowa,Cass,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16150,Iowa,Cedar,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16160,Iowa,Cerro Gordo,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16170,Iowa,Cherokee,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16180,Iowa,Chickasaw,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16190,Iowa,Clarke,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16200,Iowa,Clay,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16210,Iowa,Clayton,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16220,Iowa,Clinton,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16230,Iowa,Crawford,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16240,Iowa,Dallas,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16250,Iowa,Davis,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16260,Iowa,Decatur,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16270,Iowa,Delaware,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16280,Iowa,Des Moines,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16290,Iowa,Dickinson,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16300,Iowa,Dubuque,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16310,Iowa,Emmet,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16320,Iowa,Fayette,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16330,Iowa,Floyd,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16340,Iowa,Franklin,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16350,Iowa,Fremont,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16360,Iowa,Greene,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16370,Iowa,Grundy,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16380,Iowa,Guthrie,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16390,Iowa,Hamilton,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16400,Iowa,Hancock,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16410,Iowa,Hardin,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16420,Iowa,Harrison,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16430,Iowa,Henry,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16440,Iowa,Howard,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16450,Iowa,Humboldt,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16460,Iowa,Ida,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16470,Iowa,Iowa,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16480,Iowa,Jackson,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16490,Iowa,Jasper,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16500,Iowa,Jefferson,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16510,Iowa,Johnson,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16520,Iowa,Jones,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16530,Iowa,Keokuk,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16540,Iowa,Kossuth,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16550,Iowa,Lee,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16560,Iowa,Linn,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16570,Iowa,Louisa,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16580,Iowa,Lucas,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16590,Iowa,Lyon,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16600,Iowa,Madison,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16610,Iowa,Mahaska,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16620,Iowa,Marion,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16630,Iowa,Marshall,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16640,Iowa,Mills,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16650,Iowa,Mitchell,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16660,Iowa,Monona,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16670,Iowa,Monroe,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16680,Iowa,Montgomery,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16690,Iowa,Muscatine,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16700,Iowa,O'Brien,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16710,Iowa,Osceola,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16720,Iowa,Page,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16730,Iowa,Palo Alto,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16740,Iowa,Plymouth,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16750,Iowa,Pocahontas,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16760,Iowa,Polk,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16770,Iowa,Pottawattamie,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16780,Iowa,Poweshiek,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16790,Iowa,Ringgold,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16800,Iowa,Sac,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16810,Iowa,Scott,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16820,Iowa,Shelby,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16830,Iowa,Sioux,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16840,Iowa,Story,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16850,Iowa,Tama,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16860,Iowa,Taylor,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16870,Iowa,Union,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16880,Iowa,Van Buren,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16890,Iowa,Wapello,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16900,Iowa,Warren,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16910,Iowa,Washington,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16920,Iowa,Wayne,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16930,Iowa,Webster,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16940,Iowa,Winnebago,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16950,Iowa,Winneshiek,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16960,Iowa,Woodbury,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16970,Iowa,Worth,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
16980,Iowa,Wright,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24000,Minnesota,Aitkin,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24010,Minnesota,Anoka,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24020,Minnesota,Becker,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24030,Minnesota,Beltrami,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24040,Minnesota,Benton,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24050,Minnesota,Big Stone,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
24060,Minnesota,Blue Earth,19,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)",25,"Upper Midwest and Northern Plains (Iowa, Minnesota, Montana, Nebraska, North Dakota, South Dakota and Wyoming)"
